Effective date ,Dow Jones U.S. Oil & Gas Index
2/28/2014,740.93
3/3/2014,736.59
3/4/2014,744.54
3/5/2014,736.79
3/6/2014,740.99
3/7/2014,743.6
3/10/2014,744.74
3/11/2014,735.74
3/12/2014,735.87
3/13/2014,728.72
3/14/2014,730.41
3/17/2014,735.04
3/18/2014,741.14
3/19/2014,735.09
3/20/2014,738.84
3/21/2014,741.35
3/24/2014,739.78
3/25/2014,745.59
3/26/2014,742.42
3/27/2014,748.98
3/28/2014,758.69
3/31/2014,758.73
4/1/2014,763.11
4/2/2014,765.83
4/3/2014,769.31
4/4/2014,766.03
4/7/2014,754.38
4/8/2014,761.89
4/9/2014,766.04
4/10/2014,755.3
4/11/2014,753.33
4/14/2014,763.01
4/15/2014,772.39
4/16/2014,782.21
4/17/2014,788.81
4/21/2014,793.89
4/22/2014,792.55
4/23/2014,796.18
4/24/2014,795.24
4/25/2014,791.3
4/28/2014,792.83
4/29/2014,796.26
4/30/2014,796.3
5/1/2014,793.25
5/2/2014,796.06
5/5/2014,799.58
5/6/2014,800.4
5/7/2014,806.65
5/8/2014,795.17
5/9/2014,793.81
5/12/2014,798.33
5/13/2014,800.87
5/14/2014,801.03
5/15/2014,790.44
5/16/2014,788.45
5/19/2014,790.95
5/20/2014,789.08
5/21/2014,798.13
5/22/2014,796.87
5/23/2014,795.62
5/27/2014,797.52
5/28/2014,798.51
5/29/2014,805.09
5/30/2014,804.46
6/2/2014,802.61
6/3/2014,805.41
6/4/2014,804.56
6/5/2014,809.09
6/6/2014,815.94
6/9/2014,816.88
6/10/2014,815.68
6/11/2014,818.68
6/12/2014,821.81
6/13/2014,830
6/16/2014,834.1
6/17/2014,833
6/18/2014,839.45
6/19/2014,844.51
6/20/2014,852.52
6/23/2014,855.72
6/24/2014,838.27
6/25/2014,844.04
6/26/2014,844.71
6/27/2014,844.94
6/30/2014,846.02
7/1/2014,846.77
7/2/2014,845.47
7/3/2014,848.53
7/7/2014,843.03
7/8/2014,841.68
7/9/2014,847.05
7/10/2014,838.66
7/11/2014,832.05
7/14/2014,839.65
7/15/2014,835.52
7/16/2014,848.49
7/17/2014,835.16
7/18/2014,838.33
7/21/2014,839.52
7/22/2014,846.2
7/23/2014,850.91
7/24/2014,851.56
7/25/2014,845.24
7/28/2014,843.73
7/29/2014,840.5
7/30/2014,835.92
7/31/2014,815.54
8/1/2014,809.17
8/4/2014,822.36
8/5/2014,804.66
8/6/2014,807.55
8/7/2014,801.98
8/8/2014,815.58
8/11/2014,814.68
8/12/2014,809.1
8/13/2014,811.9
8/14/2014,807.04
8/15/2014,811.76
8/18/2014,814.38
8/19/2014,820.39
8/20/2014,822.25
8/21/2014,822.63
8/22/2014,817.61
8/25/2014,824.9
8/26/2014,829.14
8/27/2014,828.75
8/28/2014,828.62
8/29/2014,833.25
9/2/2014,823.04
9/3/2014,825.69
9/4/2014,814.2
9/5/2014,820
9/8/2014,807.02
9/9/2014,802.81
9/10/2014,800.92
9/11/2014,802.05
9/12/2014,789.68
9/15/2014,794.98
9/16/2014,804.32
9/17/2014,800.64
9/18/2014,796.61
9/19/2014,796.03
9/22/2014,784
9/23/2014,781.71
9/24/2014,782.72
9/25/2014,770.45
9/26/2014,780.52
9/29/2014,778.34
9/30/2014,768.25
10/1/2014,753.3
10/2/2014,750.33
10/3/2014,749.56
10/6/2014,750.18
10/7/2014,739.75
10/8/2014,746.48
10/9/2014,717.79
10/10/2014,708.4
10/13/2014,686.38
10/14/2014,677.94
10/15/2014,682.26
10/16/2014,694.75
10/17/2014,700.28
10/20/2014,706.18
10/21/2014,727.29
10/22/2014,713.95
10/23/2014,727.08
10/24/2014,724.83
10/27/2014,709.28
10/28/2014,726.2
10/29/2014,727.37
10/30/2014,724.63
10/31/2014,739.37
11/3/2014,726.66
11/4/2014,710.8
11/5/2014,722.7
11/6/2014,731.64
11/7/2014,739.76
11/10/2014,733.05
11/11/2014,735.25
11/12/2014,728.39
11/13/2014,718.2
11/14/2014,724.83
11/17/2014,720.97
11/18/2014,721.27
11/19/2014,725.08
11/20/2014,733.87
11/21/2014,743.19
11/24/2014,737.59
11/25/2014,725.49
11/26/2014,716.54
11/28/2014,668.48
12/1/2014,671.25
12/2/2014,679.49
12/3/2014,687.83
12/4/2014,681.94
12/5/2014,673.48
12/8/2014,645.68
12/9/2014,652.14
12/10/2014,631.14
12/11/2014,631.05
12/12/2014,618.01
12/15/2014,612.64
12/16/2014,617.57
12/17/2014,644.81
12/18/2014,658.53
12/19/2014,679.3
12/22/2014,672.15
12/23/2014,680.67
12/24/2014,675.14
12/26/2014,674.91
12/29/2014,676.83
12/30/2014,672.34
12/31/2014,667.46
1/2/2015,670.56
1/5/2015,643.09
1/6/2015,634.38
1/7/2015,635.91
1/8/2015,650.3
1/9/2015,645.38
1/12/2015,626.5
1/13/2015,622.19
1/14/2015,623.79
1/15/2015,615.65
1/16/2015,635.76
1/20/2015,635.92
1/21/2015,648.01
1/22/2015,651.36
1/23/2015,645.77
1/26/2015,655.23
1/27/2015,654.84
1/28/2015,629.04
1/29/2015,629.97
1/30/2015,635.48
2/2/2015,654.91
2/3/2015,673.66
2/4/2015,662.34
2/5/2015,672.89
2/6/2015,671.33
2/9/2015,672.34
2/10/2015,670.35
2/11/2015,666.06
2/12/2015,674.95
2/13/2015,688.47
