Date,^ERIX
1/2/2018 16:00,981.89
1/3/2018 16:00,978.43
1/4/2018 16:00,976.54
1/5/2018 16:00,985.37
1/8/2018 16:00,1004.72
1/9/2018 16:00,1006.58
1/10/2018 16:00,993.94
1/11/2018 16:00,1005.2
1/12/2018 16:00,1007.12
1/16/2018 16:00,1035.09
1/17/2018 16:00,1040.42
1/18/2018 16:00,1043.68
1/19/2018 16:00,1037.69
1/22/2018 16:00,1050.31
1/23/2018 16:00,1053.19
1/24/2018 16:00,1038.85
1/25/2018 16:00,1016.29
1/26/2018 16:00,1012.19
1/29/2018 16:00,1003.6
1/30/2018 16:00,1014.26
1/31/2018 16:00,1011.15
2/1/2018 16:00,1003.02
2/2/2018 16:00,983.55
2/5/2018 16:00,967.74
2/6/2018 16:00,956.26
2/7/2018 16:00,989.37
2/8/2018 16:00,969.66
2/9/2018 16:00,967.04
2/12/2018 16:00,980.72
2/13/2018 16:00,977.16
2/14/2018 16:00,1002.65
2/15/2018 16:00,990.79
2/16/2018 16:00,989.84
2/20/2018 16:00,1007.34
2/21/2018 16:00,999.68
2/22/2018 16:00,998.1
2/23/2018 16:00,1007.21
2/26/2018 16:00,1011.97
2/27/2018 16:00,1016.73
2/28/2018 16:00,1011.79
3/1/2018 16:00,1004.02
3/2/2018 16:00,976.65
3/5/2018 16:00,987.24
3/6/2018 16:00,985.14
3/7/2018 16:00,992.02
3/8/2018 16:00,1005.44
3/9/2018 16:00,1007.9
3/12/2018 16:00,1008.88
3/13/2018 16:00,1008.83
3/14/2018 16:00,1026.83
3/15/2018 16:00,1024.32
3/16/2018 16:00,1024.36
3/19/2018 16:00,1025.06
3/20/2018 16:00,1038.27
3/21/2018 16:00,1043.64
3/22/2018 16:00,1013.62
3/23/2018 16:00,1007.03
3/26/2018 16:00,1008
3/27/2018 16:00,998.17
3/28/2018 16:00,986.32
3/29/2018 16:00,989.23
4/3/2018 16:00,993.62
4/4/2018 16:00,982.53
4/5/2018 16:00,1008.27
4/6/2018 16:00,1015.4
4/9/2018 16:00,1022.15
4/10/2018 16:00,1025.9
4/11/2018 16:00,1010.74
4/12/2018 16:00,1015.7
4/13/2018 16:00,1019.38
4/16/2018 16:00,1024.14
4/17/2018 16:00,1031.85
4/18/2018 16:00,1035.5
4/19/2018 16:00,1040.06
4/20/2018 16:00,1034.05
4/23/2018 16:00,1033.03
4/24/2018 16:00,1026.1
4/25/2018 16:00,1023.6
4/26/2018 16:00,1034.36
4/27/2018 16:00,1047.03
4/30/2018 16:00,1044.58
5/1/2018 16:00,1046.22
5/2/2018 16:00,1049.74
5/3/2018 16:00,1044.67
5/4/2018 16:00,1039.6
5/7/2018 16:00,1063.03
5/8/2018 16:00,1062.47
5/9/2018 16:00,1068.4
5/10/2018 16:00,1068.81
5/11/2018 16:00,1069.32
5/14/2018 16:00,1079.17
5/15/2018 16:00,1085.66
5/16/2018 16:00,1085.61
5/17/2018 16:00,1113.66
5/18/2018 16:00,1107.97
5/21/2018 16:00,1111.45
5/22/2018 16:00,1120.99
5/23/2018 16:00,1105.19
5/24/2018 16:00,1089.97
5/25/2018 16:00,1086.97
5/29/2018 16:00,1064.58
5/30/2018 16:00,1080.11
5/31/2018 16:00,1080.6
6/1/2018 16:00,1089.72
6/4/2018 16:00,1090.53
6/5/2018 16:00,1084
6/6/2018 16:00,1079.28
6/7/2018 16:00,1075.21
6/8/2018 16:00,1064.99
6/11/2018 16:00,1073.87
6/12/2018 16:00,1067.21
6/13/2018 16:00,1062.18
6/14/2018 16:00,1068.66
6/15/2018 16:00,1064.84
6/18/2018 16:00,1055.19
