Date,^ECO
1/2/2018 16:00,53.91
1/3/2018 16:00,53.88
1/4/2018 16:00,53.8
1/5/2018 16:00,53.79
1/8/2018 16:00,53.87
1/9/2018 16:00,53.47
1/10/2018 16:00,53.46
1/11/2018 16:00,54.87
1/12/2018 16:00,54.75
1/16/2018 16:00,53.61
1/17/2018 16:00,54.04
1/18/2018 16:00,53.67
1/19/2018 16:00,53.81
1/22/2018 16:00,53.64
1/23/2018 16:00,53.36
1/24/2018 16:00,52.99
1/25/2018 16:00,52.95
1/26/2018 16:00,52.96
1/29/2018 16:00,53.15
1/30/2018 16:00,52.45
1/31/2018 16:00,52.08
2/1/2018 16:00,51.74
2/2/2018 16:00,50.66
2/5/2018 16:00,48.77
2/6/2018 16:00,49.24
2/7/2018 16:00,49.1
2/8/2018 16:00,47.7
2/9/2018 16:00,48.08
2/12/2018 16:00,49.01
2/13/2018 16:00,49.73
2/14/2018 16:00,50.83
2/15/2018 16:00,51.72
2/16/2018 16:00,51.98
2/20/2018 16:00,52.11
2/21/2018 16:00,52.4
2/22/2018 16:00,52.19
2/23/2018 16:00,52.22
2/26/2018 16:00,52.58
2/27/2018 16:00,51.69
2/28/2018 16:00,50.91
3/1/2018 16:00,50.19
3/2/2018 16:00,50.71
3/5/2018 16:00,50.95
3/6/2018 16:00,51.84
3/7/2018 16:00,51.81
3/8/2018 16:00,52.07
3/9/2018 16:00,52.89
3/12/2018 16:00,53.41
3/13/2018 16:00,53.21
3/14/2018 16:00,52.99
3/15/2018 16:00,52.8
3/16/2018 16:00,53.2
3/19/2018 16:00,52.91
3/20/2018 16:00,53.43
3/21/2018 16:00,53.94
3/22/2018 16:00,52.76
3/23/2018 16:00,51.92
3/26/2018 16:00,53.11
3/27/2018 16:00,51.92
3/28/2018 16:00,50.99
3/29/2018 16:00,52
4/2/2018 16:00,50.9
4/3/2018 16:00,51.34
4/4/2018 16:00,52.29
4/5/2018 16:00,53.13
4/6/2018 16:00,52.04
4/9/2018 16:00,52.04
4/10/2018 16:00,52.85
4/11/2018 16:00,52.59
4/12/2018 16:00,52.6
4/13/2018 16:00,52.42
4/16/2018 16:00,52.36
4/17/2018 16:00,53.15
4/18/2018 16:00,53.94
4/19/2018 16:00,53.56
4/20/2018 16:00,53.36
4/23/2018 16:00,52.75
4/24/2018 16:00,52.14
4/25/2018 16:00,51.67
4/26/2018 16:00,52.23
4/27/2018 16:00,52.2
4/30/2018 16:00,51.36
5/1/2018 16:00,51.37
5/2/2018 16:00,51.72
5/3/2018 16:00,51.65
5/4/2018 16:00,52.45
5/7/2018 16:00,53.15
5/8/2018 16:00,53.13
5/9/2018 16:00,53.8
5/10/2018 16:00,54.97
5/11/2018 16:00,54.63
5/14/2018 16:00,55.25
5/15/2018 16:00,55.33
5/16/2018 16:00,55.98
5/17/2018 16:00,55.84
5/18/2018 16:00,55.54
5/21/2018 16:00,56.25
5/22/2018 16:00,55.75
5/23/2018 16:00,55.08
5/24/2018 16:00,54.77
5/25/2018 16:00,54.65
5/29/2018 16:00,54.97
5/30/2018 16:00,55.21
5/31/2018 16:00,54.56
6/1/2018 16:00,54.11
6/4/2018 16:00,53.34
6/5/2018 16:00,53.24
6/6/2018 16:00,53.08
6/7/2018 16:00,52.73
6/8/2018 16:00,52.4
6/11/2018 16:00,52.43
6/12/2018 16:00,52.9
6/13/2018 16:00,53.29
6/14/2018 16:00,53.35
6/15/2018 16:00,52.36
6/18/2018 16:00,52.88
6/19/2018 16:00,52.52
6/20/2018 16:00,52.96
6/21/2018 16:00,52.48
6/22/2018 16:00,52.89
6/25/2018 16:00,52.04
6/26/2018 16:00,52.53
6/27/2018 16:00,51.74
6/28/2018 16:00,52.07
6/29/2018 16:00,51.96
7/2/2018 16:00,52.42
7/3/2018 13:00,52.08
7/5/2018 16:00,52.86
7/6/2018 16:00,53.4
7/9/2018 16:00,53.84
7/10/2018 16:00,53.95
7/11/2018 16:00,53.14
7/12/2018 16:00,53.41
7/13/2018 16:00,52.99
7/16/2018 16:00,52.65
7/17/2018 16:00,52.58
7/18/2018 16:00,52.86
7/19/2018 16:00,53.05
7/20/2018 16:00,52.37
7/23/2018 16:00,52.18
7/24/2018 16:00,52.12
7/25/2018 16:00,52.86
7/26/2018 16:00,53.09
