Effective date ,S&P Kensho Electric Vehicles Index (USD)
2/28/2014,143.25
3/3/2014,143.26
3/4/2014,147.17
3/5/2014,148.13
3/6/2014,147.9
3/7/2014,146.87
3/10/2014,148.05
3/11/2014,144.49
3/12/2014,145.85
3/13/2014,144.38
3/14/2014,143.52
3/17/2014,144.48
3/18/2014,145.81
3/19/2014,144.33
3/20/2014,144.41
3/21/2014,143.91
3/24/2014,141.56
3/25/2014,143.7
3/26/2014,140.67
3/27/2014,140.28
3/28/2014,141.99
3/31/2014,143.39
4/1/2014,146.18
4/2/2014,148.92
4/3/2014,147.06
4/4/2014,143.87
4/7/2014,140.07
4/8/2014,141.7
4/9/2014,143.83
4/10/2014,139.82
4/11/2014,138.07
4/14/2014,138.4
4/15/2014,137.93
4/16/2014,139.74
4/17/2014,140.02
4/21/2014,141.66
4/22/2014,143.61
4/23/2014,142.03
4/24/2014,141.84
4/25/2014,139
4/28/2014,137.51
4/29/2014,138.18
4/30/2014,139.47
5/1/2014,140.22
5/2/2014,140.56
5/5/2014,140.98
5/6/2014,138.92
5/7/2014,139.06
5/8/2014,136.01
5/9/2014,135.7
5/12/2014,137.74
5/13/2014,138.57
5/14/2014,138.3
5/15/2014,136.69
5/16/2014,136.5
5/19/2014,137.59
5/20/2014,136.36
5/21/2014,137.42
5/22/2014,138.23
5/23/2014,140.65
5/27/2014,143.14
5/28/2014,142.84
5/29/2014,143.25
5/30/2014,142.95
6/2/2014,142.23
6/3/2014,142.7
6/4/2014,143.59
6/5/2014,145.22
6/6/2014,146.24
6/9/2014,146.52
6/10/2014,146.69
6/11/2014,146.87
6/12/2014,144.91
6/13/2014,145.61
6/16/2014,147.19
6/17/2014,149.22
6/18/2014,149.02
6/19/2014,148.41
6/20/2014,148.27
6/23/2014,148.49
6/24/2014,147.44
6/25/2014,148.26
6/26/2014,148.27
6/27/2014,148.94
6/30/2014,150.34
7/1/2014,152.32
7/2/2014,150.96
7/3/2014,151.5
7/7/2014,151.06
7/8/2014,149.77
7/9/2014,151.63
7/10/2014,149.72
7/11/2014,149.82
7/14/2014,156.12
7/15/2014,154.27
7/16/2014,154.93
7/17/2014,152.45
7/18/2014,154.32
7/21/2014,156.31
7/22/2014,155.94
7/23/2014,152.96
7/24/2014,150.36
7/25/2014,150.87
7/28/2014,150.89
7/29/2014,149.86
7/30/2014,150.31
7/31/2014,147.24
8/1/2014,146.65
8/4/2014,148.99
8/5/2014,149.36
8/6/2014,149.77
8/7/2014,149.39
8/8/2014,150.1
